0,0,0,0,0,0,0,0,0,0,0,255,255,0,Potion +25HP;
1,0,0,0,0,0,0,0,0,0,0,255,255,0,Potion +50HP;
2,0,0,0,0,0,0,0,0,0,0,255,255,0,Potion +100HP;
3,0,0,0,0,0,0,0,0,0,0,255,255,0,Potion +200HP;
4,0,0,0,0,0,0,0,0,0,0,255,255,0,Potion +50%HP;
5,0,0,0,0,0,0,0,0,0,0,255,255,0,Potion +10MP;
6,0,0,0,0,0,0,0,0,0,0,255,255,0,Potion +20MP;
100,0,0,0,0,0,0,0,0,0,0,255,255,0,Gold Coins;
1000,0,0,0,0,10,0,0,0,1,0,170,170,170,Mace;
1001,0,0,0,0,13,0,0,0,2,0,255,255,255,Mace With Nails;
1002,0,0,0,0,15,0,0,0,3,0,255,255,255,Copper Knife;
1003,0,0,0,0,17,0,0,0,4,0,255,255,255,Copper Sword;
1004,0,0,0,0,20,0,0,0,5,0,255,255,255,Copper Longsword;
1005,0,0,0,0,17,0,0,0,4,0,255,255,255,Iron Knife;
1006,0,0,0,0,20,0,0,0,5,0,255,255,255,Iron Sword;
1007,0,0,0,0,23,0,0,0,6,0,255,255,255,Iron Longsword;
2000,0,0,0,0,0,5,0,0,1,0,170,170,170,Worn Out Leather Armor;
2001,0,0,0,0,0,7,0,0,1,0,255,255,255,Leather Armor;
2002,0,0,1,0,0,9,0,0,3,0,255,255,255,Copper Breastplate;
2003,0,0,1,0,0,12,0,0,4,0,255,255,255,Copper Chestplate;
3000,0,0,0,0,1,3,0,0,1,0,170,170,170,Worn Out Wooden Shield;
3001,0,0,0,0,2,4,0,0,1,0,255,255,255,Wooden Shield;
